time_min,temp_C,OD600,strain,well,media,neg_selection,pos_selection,operator,repressor,volume_marker,date,run_number
699.5833333333334,37.0,0.764,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
724.5833333333334,37.1,0.7759999999999999,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
749.5833333333334,37.0,0.782,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
774.5833333333334,37.0,0.7909999999999999,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
799.5833333333334,37.1,0.794,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
824.5833333333334,37.1,0.8009999999999999,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
849.5833333333334,37.0,0.8029999999999999,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
874.5833333333334,37.0,0.805,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
899.5833333333334,37.1,0.8059999999999999,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
924.5833333333334,37.0,0.8059999999999999,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
949.5833333333334,37.0,0.805,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
974.5833333333334,37.1,0.802,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
999.5833333333334,37.1,0.7979999999999999,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1024.5833333333333,37.1,0.7929999999999999,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1049.5833333333333,37.0,0.789,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1074.5833333333333,37.1,0.792,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1099.5833333333333,37.1,0.7909999999999999,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1124.5833333333333,37.0,0.7879999999999999,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1149.5833333333333,37.0,0.7829999999999999,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1174.5833333333333,37.1,0.778,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1199.5833333333333,37.1,0.773,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1224.5833333333333,37.1,0.767,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1249.5833333333333,37.0,0.7609999999999999,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1274.5833333333333,37.1,0.755,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1299.5833333333333,37.1,0.75,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1324.5833333333333,37.1,0.746,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1349.5833333333333,37.0,0.742,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
1374.5833333333333,37.1,0.738,HG105_R0_mCherry,B04,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,HG105,0.0,mCherry,20200903,1
24.583333333333332,37.1,0.042,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
49.583333333333336,37.1,0.043,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
74.58333333333333,37.1,0.046,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
99.58333333333333,37.0,0.049,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
124.58333333333333,37.0,0.053,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
149.58333333333334,37.0,0.057,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
174.58333333333334,37.0,0.065,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
199.58333333333334,37.0,0.077,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
224.58333333333334,37.1,0.094,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
249.58333333333334,37.1,0.11599999999999999,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
274.5833333333333,37.0,0.145,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
299.5833333333333,37.0,0.191,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
324.5833333333333,37.1,0.287,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
349.5833333333333,37.1,0.369,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
374.5833333333333,37.0,0.435,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
399.5833333333333,37.0,0.491,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
424.5833333333333,37.0,0.547,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
449.5833333333333,37.0,0.581,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
474.5833333333333,37.1,0.605,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
499.5833333333333,37.0,0.644,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
524.5833333333334,37.0,0.679,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
549.5833333333334,37.1,0.7,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
574.5833333333334,37.0,0.715,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
599.5833333333334,37.0,0.726,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
624.5833333333334,37.0,0.741,O1_R0_G_mCherry,B05,M9_0.5%_glucose,0_%wv_2DoG,0_%wv_galactose,O1,0.0,mCherry,20200903,1
