,OD600,OD_sub,blank_val,date,doubling_time,doubling_time_std,growth_rate,growth_rate_std,logOD_fit,logOD_fit_std,media,misc,operator,repressor,run_number,selection,strain,temp_C,time_min,volume_marker,well
11798,0.4320000000000001,0.3540000000000001,0.078,20190503,102.6724562054946,0.49532538858781755,0.0067510528741285825,3.2569279160535826e-05,-0.8386528757228007,0.0011480973035096122,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,821.4666666666667,mCh,G06
11799,0.45,0.37183333333333335,0.07816666666666668,20190503,106.05474970410863,0.5285306040772966,0.0065357485873458465,3.257131961184964e-05,-0.7987788702548642,0.0011481160909342359,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,827.4666666666667,mCh,G06
11800,0.468,0.3896666666666667,0.07833333333333334,20190503,110.13482752771532,0.5700002167779927,0.006293623880107457,3.2572502781444366e-05,-0.7602776073754285,0.001148147775263032,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,833.4666666666667,mCh,G06
11801,0.485,0.4068333333333333,0.07816666666666668,20190503,115.02313212933026,0.6217290789984457,0.006026154632796654,3.257288773477512e-05,-0.7233061496715436,0.001148190118817569,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,839.4666666666667,mCh,G06
11802,0.5,0.42166666666666663,0.07833333333333334,20190503,120.84237696957933,0.6862294224546724,0.005735961158182423,3.257288884505182e-05,-0.6880092751277971,0.0011482372004353654,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,845.4666666666667,mCh,G06
11803,0.514,0.43566666666666665,0.07833333333333334,20190503,127.72720389998904,0.7666576831280628,0.0054267780033976365,3.257317880529853e-05,-0.6545126629182505,0.001148281055757456,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,851.4666666666667,mCh,G06
11804,0.529,0.45083333333333336,0.07816666666666668,20190503,135.82205110191205,0.8669471097285409,0.005103347909536815,3.257448024247846e-05,-0.6229164888529795,0.00114831431562346,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,857.4666666666667,mCh,G06
11805,0.552,0.47400000000000003,0.078,20190503,145.2759703529279,0.9919214887778597,0.004771244541516673,3.257730770923101e-05,-0.5932898744124486,0.0011483330362680817,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,863.4666666666667,mCh,G06
11806,0.573,0.4948333333333333,0.07816666666666668,20190503,156.23267825413205,1.1473414800215396,0.004436633797139766,3.258174950341602e-05,-0.5656665897740822,0.0011483386888216137,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,869.4666666666667,mCh,G06
11807,0.589,0.5108333333333333,0.07816666666666668,20190503,168.81373495730318,1.3397985238316352,0.004105988062732324,3.2587376534915604e-05,-0.5400423383398447,0.0011483384535005239,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,875.4666666666667,mCh,G06
11808,0.603,0.5248333333333333,0.07816666666666668,20190503,183.09272146863935,1.5763238089077898,0.0037857713567203133,3.259333018162343e-05,-0.5163738527273836,0.0011483434551751344,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,881.4666666666667,mCh,G06
11809,0.609,0.5308333333333333,0.07816666666666668,20190503,199.05920896856162,1.8635360124425249,0.0034821156185214086,3.259858153876251e-05,-0.4945799169595375,0.0011483653043505367,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,887.4666666666667,mCh,G06
11810,0.626,0.5476666666666666,0.07833333333333334,20190503,216.57402636318227,2.2061517655817053,0.003200509277126229,3.260228990087705e-05,-0.4745443046242599,0.0011484119677257734,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,893.4666666666667,mCh,G06
11811,0.642,0.5638333333333333,0.07816666666666668,20190503,235.32262899450248,2.604801890789699,0.002945518599386965,3.260414202332677e-05,-0.45612049713417946,0.0011484843955250161,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,899.4666666666667,mCh,G06
11812,0.6459999999999999,0.568,0.078,20190503,254.78104738417363,3.053422628337131,0.002720560213078871,3.260454496775384e-05,-0.43913792883654423,0.0011485752573556982,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,905.4666666666667,mCh,G06
11813,0.649,0.5710000000000001,0.078,20190503,274.2161939248388,3.537035101006708,0.0025277397758278752,3.260458175480555e-05,-0.4234094049770647,0.0011486705299135179,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,911.4666666666667,mCh,G06
11814,0.659,0.5811666666666667,0.07783333333333334,20190503,292.7429522696247,4.0312630954711,0.002367767268813825,3.260571342685056e-05,-0.40873926177732756,0.0011487537662817281,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,917.4666666666667,mCh,G06
11815,0.669,0.5908333333333333,0.07816666666666668,20190503,309.4470376906052,4.504936753645014,0.002239954163830049,3.260930178690972e-05,-0.39493179035389403,0.0011488118305203405,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,923.4666666666667,mCh,G06
11816,0.6779999999999999,0.6,0.078,20190503,323.5539967555958,4.9260651503436055,0.00214229212901218,3.2616103353388084e-05,-0.38179943145792095,0.0011488402173947872,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,929.4666666666667,mCh,G06
11817,0.6890000000000001,0.6106666666666667,0.07833333333333334,20190503,334.5938892118585,5.269546885776465,0.002071607410980114,3.2625916769716104e-05,-0.36917026668834296,0.0011488459437003582,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,935.4666666666667,mCh,G06
11818,0.6990000000000001,0.6208333333333333,0.07816666666666668,20190503,342.50125672379096,5.523523633496983,0.0020237799627080832,3.263753412160623e-05,-0.3568943825630413,0.0011488466395911886,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.1,941.4666666666667,mCh,G06
11819,0.7090000000000001,0.6306666666666667,0.07833333333333334,20190503,347.61432293933217,5.6916800254874245,0.0019940121416714973,3.264905479545447e-05,-0.34484876261717545,0.0011488656400214991,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,947.4666666666667,mCh,G06
11820,0.716,0.6376666666666666,0.07833333333333334,20190503,350.58273475697973,5.790975838674992,0.001977128682735696,3.265849483321078e-05,-0.3329404637825064,0.0011489243305765463,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,953.4666666666667,mCh,G06
11821,0.727,0.6485,0.0785,20190503,352.2290024285482,5.846566447674958,0.0019678878677815703,3.26645083205273e-05,-0.3211079490665725,0.0011490341784510846,M9_glucose,ref,O2,0.0,1,None,O2_R0_mCh,37.0,959.4666666666667,mCh,G06
