time_min,temp_C,OD600,strain,well,media,pos_selection,operator,repressor,volume_marker,date,run_number
1154.1166666666666,37.1,0.486,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1169.1166666666666,37.1,0.48100000000000004,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1184.1166666666666,37.0,0.474,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1199.1166666666666,37.0,0.467,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1214.1166666666666,37.0,0.46299999999999997,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1229.1166666666666,37.1,0.45899999999999996,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1244.1166666666666,37.0,0.452,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1259.1166666666666,37.1,0.445,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1274.1166666666666,37.0,0.442,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1289.1166666666666,37.1,0.436,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1304.1166666666666,37.1,0.431,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1319.1166666666666,37.0,0.423,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1334.1166666666666,37.1,0.415,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1349.1166666666666,37.1,0.408,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1364.1166666666666,37.1,0.4,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1379.1166666666666,37.0,0.396,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1394.1166666666666,37.0,0.385,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1409.1166666666666,37.0,0.371,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1424.1166666666666,37.0,0.361,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
1439.1166666666666,37.1,0.35100000000000003,none_R0_control_mCherry,A02,M9_0.5%_glucose,0_ugmL_tetracycline,none,0,mCherry,20200312,1
14.116666666666667,36.9,0.044000000000000004,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
29.116666666666667,37.0,0.045,O2_R0_T_mCherry,A03,M9_0.5%_glucose,0_ugmL_tetracycline,O2,0,mCherry,20200312,1
