time_min,temp_C,OD600,strain,well,media,neg_selection,operator,repressor,volume_marker,date,run_number,blank_val,OD_sub,logOD_fit,logOD_fit_std,growth_rate,growth_rate_std,doubling_time,doubling_time_std
1018.9666666666667,37.0,0.8009999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18511111111111117,0.6158888888888887,-0.22396492285735548,0.0023406635062254186,-0.00010946592870197946,3.111336165803563e-05,-6332.081486715703,1799.7594656206034
1033.9666666666667,37.0,0.8009999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18475000000000005,0.6162499999999999,-0.2256368085148992,0.002343363209205972,-0.00011301765234039696,3.1649217110225734e-05,-6133.087762894427,1717.4965338979418
1048.9666666666667,37.0,0.7979999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18500000000000005,0.6129999999999999,-0.22734752697475358,0.00234315051327091,-0.00011498075339988478,3.246082721812546e-05,-6028.375706926267,1701.9027658299774
1063.9666666666667,37.0,0.795,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18497222222222232,0.6100277777777777,-0.22908804006947037,0.0023448285957107903,-0.00011729721257225378,3.3399711943704765e-05,-5909.323549636563,1682.6461602268223
1078.9666666666667,37.0,0.794,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18433333333333335,0.6096666666666667,-0.2308767346916767,0.002354254781323638,-0.00012165960045962265,3.4240146997839313e-05,-5697.431011948724,1603.4975836035042
1093.9666666666667,37.0,0.7929999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.1845,0.6084999999999999,-0.23275476722464106,0.0023753845392735923,-0.00012939483220808512,3.4779866007285516e-05,-5356.838203903437,1439.8574639739602
1108.9666666666667,37.0,0.7909999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18508333333333338,0.6059166666666665,-0.23477993705700584,0.002407385044200061,-0.00014138531710439217,3.495629620351582e-05,-4902.540056886943,1212.1106058814185
1123.9666666666667,37.0,0.787,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18552777777777782,0.6014722222222222,-0.23701968664603612,0.002443713834353603,-0.00015803172853223746,3.4946726413809123e-05,-4386.126678469809,969.9366733024467
1138.9666666666667,37.0,0.7859999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18494444444444447,0.6010555555555555,-0.23954385987018867,0.0024744027216774957,-0.0001792577501360526,3.520032933173095e-05,-3866.762692457437,759.3050795229049
1153.9666666666667,37.1,0.784,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.1846388888888889,0.5993611111111111,-0.24241782798228684,0.002491232105470668,-0.0002045535170777102,3.63048228953233e-05,-3388.5859821056883,601.4172511107981
1168.9666666666667,37.0,0.782,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18455555555555556,0.5974444444444444,-0.24569651913071766,0.0024941270006789565,-0.0002330513642267995,3.863505113935806e-05,-2974.2249433279117,493.0644073535713
1183.9666666666667,37.0,0.778,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18425000000000002,0.59375,-0.24941977293589446,0.002496020640939502,-0.00026362514763045297,4.198779409248896e-05,-2629.290819901567,418.7693114545105
1198.9666666666667,37.0,0.7759999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18558333333333338,0.5904166666666666,-0.2536092986542542,0.0025217374408493505,-0.0002950029717766478,4.5545816125911425e-05,-2349.6277897998257,362.761482143909
1213.9666666666667,37.0,0.772,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.1855277777777778,0.5864722222222223,-0.25826735827138236,0.0025957361408327603,-0.0003258826942116877,4.821134423842033e-05,-2126.9837057063514,314.6676563276127
1228.9666666666667,37.0,0.769,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18580555555555558,0.5831944444444445,-0.2633771389464101,0.002720403340767629,-0.0003550400641546547,4.920384017306559e-05,-1952.3069381206842,270.56382715786475
1243.9666666666667,37.0,0.765,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18636111111111114,0.5786388888888889,-0.26890463605786863,0.0028608967904513918,-0.0003814206764521655,4.921412272573668e-05,-1817.2774140283764,234.48050722525042
1258.9666666666667,37.0,0.76,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.1859444444444445,0.5740555555555555,-0.27480175006390084,0.0029559909518342368,-0.00040420891545783766,5.2641838457971076e-05,-1714.8240774818987,223.32880007951596
1273.9666666666667,37.0,0.7559999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18675000000000003,0.5692499999999998,-0.2810102159288448,0.0029699849368867194,-0.00042286950878654694,6.81064147430046e-05,-1639.1514785470786,263.9980611155574
1288.9666666666667,37.0,0.7509999999999999,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18747222222222226,0.5635277777777776,-0.2874659379897224,0.0030282318647637096,-0.0004371599686667643,0.0001017111064564165,-1585.5687396855712,368.90374790711263
1303.9666666666667,37.0,0.745,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18811111111111112,0.5568888888888889,-0.2941032972016444,0.0036393315227516306,-0.0004471148280157655,0.00015436259195524425,-1550.2665917747297,535.2163568136725
1318.9666666666667,37.0,0.7390000000000001,none_R0_control_mCherry,B02,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.18899999999999997,0.5500000000000002,-0.3008590295946476,0.005495021471096683,-0.00045300495829384,0.00022598892549780512,-1530.1094786479973,763.3201152499829
13.966666666666667,37.0,0.047,none_R0_control_mCherry,B03,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.13202777777777785,-0.08502777777777785,-3.0645431237840057,0.0035410923730405373,0.0022343357757144133,0.00017645122548480934,310.2251631531596,24.499276612575077
28.966666666666665,37.1,0.048,none_R0_control_mCherry,B03,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.1401111111111112,-0.09211111111111119,-3.02804292978999,0.0022462733732686265,0.0026207937140307336,0.00011041235803095079,264.4798699146364,11.142367265557203
43.96666666666667,37.0,0.05,none_R0_control_mCherry,B03,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.14594444444444452,-0.09594444444444451,-2.9862509251692018,0.001981666789098422,0.002941032186782766,6.644471371434688e-05,235.68160310349685,5.324592065441022
58.96666666666667,37.1,0.053,none_R0_control_mCherry,B03,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.15077777777777784,-0.09777777777777785,-2.9401025859142464,0.0019813228125838737,0.003203230688708869,4.4145546540379894e-05,216.3900286680049,2.982194231314621
73.96666666666667,37.0,0.056,none_R0_control_mCherry,B03,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.1538333333333334,-0.09783333333333341,-2.8903910531748807,0.0019214741688516118,0.0034180793597265446,3.862480006573947e-05,202.78849833825944,2.2915398911549687
88.96666666666668,37.0,0.059,none_R0_control_mCherry,B03,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.15663888888888894,-0.09763888888888894,-2.837734752144115,0.0018082855298660262,0.0035980496585089616,3.856047297052266e-05,192.6452512740435,2.0645885159157813
103.96666666666668,37.0,0.062,none_R0_control_mCherry,B03,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.15838888888888894,-0.09638888888888894,-2.782556988162014,0.0017097043856577742,0.003756534528183919,3.7452526526263785e-05,184.51771848748172,1.8396356254334787
118.96666666666668,37.1,0.066,none_R0_control_mCherry,B03,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.16111111111111115,-0.09511111111111115,-2.725079098479341,0.0016609587616511572,0.003906910383544737,3.4573771027401257e-05,177.41568464927352,1.5700204651656995
133.96666666666667,37.0,0.069,none_R0_control_mCherry,B03,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.1614166666666667,-0.0924166666666667,-2.6653278819582056,0.0016512016021155934,0.004061582137972364,3.113166058691939e-05,170.65940242340648,1.3080889199656338
148.96666666666667,37.0,0.073,none_R0_control_mCherry,B03,M9_0.5%_glucose,0_mM_NiCl2,none,0.0,mCherry,20200305,1,0.16275000000000006,-0.08975000000000007,-2.6031570691415027,0.0016509291587273596,0.004231077284809315,2.8455989422439908e-05,163.8228597356344,1.1017859637137695
