time_min,temp_C,OD600,strain,well,media,neg_selection,operator,repressor,volume_marker,date,run_number
349.46666666666664,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
374.46666666666664,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
399.46666666666664,37.1,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
424.46666666666664,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
449.46666666666664,37.1,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
474.46666666666664,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
499.46666666666664,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
524.4666666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
549.4666666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
574.4666666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
599.4666666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
624.4666666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
649.4666666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
674.4666666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
699.4666666666667,37.1,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
724.4666666666667,37.0,0.031,blank,B03,M9_0.5%_glucose,0.1_%wv_2DoG,blank,,blank,20200902,1
